peak_times,int_area,sampleID,nMolAs_in_vial,Sample ID,pMolAs_enviro
52.18068,3914.7380766983606,Smp_ALOHA_elute,3.517668981205372,NA,NA
858.09185,1240.9353692184916,Smp_ALOHA_elute,1.1150681783702057,NA,NA
1014.75944,278.58105253855297,Smp_ALOHA_elute,0.25032477475297504,NA,NA
1083.15401,613.0364896612843,Smp_ALOHA_elute,0.5508566350490702,NA,NA
1267.78594,438.1028767665709,Smp_ALOHA_elute,0.39366641394265406,NA,NA
1414.00906,6860.566909605527,Smp_ALOHA_elute,6.164704493271486,NA,NA
1470.9484,769.1165471569853,Smp_ALOHA_elute,0.6911056034552605,NA,NA
1573.3719,1327.980812653967,Smp_ALOHA_elute,1.1932846644617812,NA,NA
1695.33696,173.92967573909326,Smp_ALOHA_elute,0.15628811258160186,NA,NA
1810.5634,226.0707777451242,Smp_ALOHA_elute,0.2031405797400612,NA,NA
51.17037,2866.7905606394147,Smp_ALOHA_crude,2.576014035472508,ALOHA,0.010345437893463887
736.46448,128.2850640786191,Smp_ALOHA_crude,0.11527320137900322,ALOHA,4.6294458385141856e-4
852.02791,876.7718582529369,Smp_ALOHA_crude,0.787841513006489,ALOHA,0.0031640221405883095
1004.98928,938.1779074724309,Smp_ALOHA_crude,0.8430191903799805,ALOHA,0.0033856192384738174
1073.72086,646.36125031449,Smp_ALOHA_crude,0.5808012889592856,ALOHA,0.0023325352970252435
1120.8896,336.5094431382597,Smp_ALOHA_crude,0.30237752994409545,ALOHA,0.0012143675901369294
1171.7644,872.6612946291209,Smp_ALOHA_crude,0.7841478809239657,ALOHA,0.0031491882768030755
1250.60363,1533.4162196591062,Smp_ALOHA_crude,1.3778829044218748,ALOHA,0.005533666282818775
1311.24913,3414.7967560948746,Smp_ALOHA_crude,3.068436352749949,ALOHA,0.012323037561244777
1394.13135,3999.9775574436107,Smp_ALOHA_crude,3.5942626821163928,ALOHA,0.014434789888017644
1450.73369,1169.6714685554734,Smp_ALOHA_crude,1.0510325244054781,ALOHA,0.004221014154238868
1551.47259,941.5093991699428,Smp_ALOHA_crude,0.8460127712469191,ALOHA,0.003397641651594053
1671.75278,397.6964442793144,Smp_ALOHA_crude,0.35735837712976276,ALOHA,0.0014351742053404129
1789.00085,341.6779103417691,Smp_ALOHA_crude,0.3070217631995412,ALOHA,0.0012330191293154266
51.17032,510.7507246189637,Smp_BATS_elute,0.4589456423188263,NA,NA
846.30061,238.8235052255484,Smp_BATS_elute,0.21459980715317276,NA,NA
1067.31981,143.767150622178,Smp_BATS_elute,0.1291849509090116,NA,NA
1373.57964,193.9968049464306,Smp_BATS_elute,0.174319847162942,NA,NA
1392.44716,543.8300497540926,Smp_BATS_elute,0.4886697550607924,NA,NA
1549.11478,287.81537069151483,Smp_BATS_elute,0.258622462591302,NA,NA
50.83322,915.6825120420915,Smp_BATS_crude,0.8228054868895053,BATS,0.01176396349263149
110.46792,1336.9968904310135,Smp_BATS_crude,1.2013862478901163,BATS,0.01717667685245612
847.6476,475.64496612063806,Smp_BATS_crude,0.4274006359066994,BATS,0.006110709709218428
1001.61981,119.78146176434637,Smp_BATS_crude,0.10763211339217896,BATS,0.0015388573274674841
1064.96068,102.5367874561746,Smp_BATS_crude,0.09213655411940998,BATS,0.001317311413533586
1375.60052,357.6836027978377,Smp_BATS_crude,0.32140400966720534,BATS,0.004595235564609368
1391.09881,853.5573678585616,Smp_BATS_crude,0.7669816518421233,BATS,0.010965828856949031
1540.35409,466.0126622451073,Smp_BATS_crude,0.418745329754244,BATS,0.005986961499930285
51.50734,2332.9803528328107,Smp_PS1_elute,2.09634781692545,NA,NA
113.83742,601.5828895053864,Smp_PS1_elute,0.5405647654010474,NA,NA
823.38993,790.5963864207051,Smp_PS1_elute,0.710406757917934,NA,NA
845.62668,923.2581597457859,Smp_PS1_elute,0.8296127420411195,NA,NA
999.59891,302.00440038488495,Smp_PS1_elute,0.27137230910666976,NA,NA
1070.01519,213.78038843828244,Smp_PS1_elute,0.1920967958688097,NA,NA
1118.86842,238.11991028962245,Smp_PS1_elute,0.21396757735057836,NA,NA
1390.0885,2243.852752556504,Smp_PS1_elute,2.0162603656787357,NA,NA
1450.0602,659.7122966298008,Smp_PS1_elute,0.5927981481539152,NA,NA
1549.11453,782.2658641893902,Smp_PS1_elute,0.7029211946245009,NA,NA
1758.67833,251.0108987573508,Smp_PS1_elute,0.2255510420375054,NA,NA
51.17021,637.1474638353905,Smp_PS1_crude,0.5725220502817614,ETNP-PS2,0.004376484998756207
851.35397,1272.9536975479218,Smp_PS1_crude,1.1438389104569553,ETNP-PS2,0.008743757258161245
990.16486,155.20324936348285,Smp_PS1_crude,0.13946109429846104,ETNP-PS2,0.0010660714059955623
1006.00009,215.96394699950602,Smp_PS1_crude,0.1940588776400478,ETNP-PS2,0.001483428920247111
1216.23786,59.04778001993935,Smp_PS1_crude,0.053058605739559304,ETNP-PS2,4.055917007210835e-4
1376.61169,1631.310637669932,Smp_PS1_crude,1.4658479613230158,ETNP-PS2,0.011205265561440534
1539.68074,272.1633266954641,Smp_PS1_crude,0.24455799427218392,ETNP-PS2,0.001869455320945942
1758.34145,106.90907199650152,Smp_PS1_crude,0.09606536095225007,ETNP-PS2,7.343448359774311e-4
52.1811,2807.4772278432024,Smp_PS2_elute,2.522716811785677,NA,NA
111.47896,258.03162106209805,Smp_PS2_elute,0.23185965747823364,NA,NA
851.69133,108.48233273436254,Smp_PS2_elute,0.09747904697376535,NA,NA
1066.98301,669.6836955504849,Smp_PS2_elute,0.6017581551825585,NA,NA
1244.87665,940.9686542092273,Smp_PS2_elute,0.8455268736625128,NA,NA
1389.75199,1015.1538058814133,Smp_PS2_elute,0.9121874782267276,NA,NA
1488.80642,230.29112054358566,Smp_PS2_elute,0.2069328561737178,NA,NA
1527.55223,374.152891238095,Smp_PS2_elute,0.3362028299085017,NA,NA
1633.345,307.00176811091353,Smp_PS2_elute,0.27586279738279823,NA,NA
1669.05849,607.8014820623454,Smp_PS2_elute,0.5461526105431208,NA,NA
51.17034,1148.9501442863514,Smp_PS2_crude,1.0324129493016274,ETNP-PS3,0.01799486107762672
86.21002,539.032766970953,Smp_PS2_crude,0.4843590572542733,ETNP-PS3,0.008442333034351022
682.22117,82.84499954542471,Smp_PS2_crude,0.07444209023421935,ETNP-PS3,0.0012975186653742395
851.01793,929.8494686348271,Smp_PS2_crude,0.8355354991631179,ETNP-PS3,0.014563305548459474
984.77487,184.87156121529094,Smp_PS2_crude,0.16612017040550206,ETNP-PS3,0.0028954590221488374
1006.67468,153.57533597308435,Smp_PS2_crude,0.13799829900403784,ETNP-PS3,0.0024052974356881603
1216.23871,180.99798128549764,Smp_PS2_crude,0.1626394849296693,ETNP-PS3,0.0028347910000798655
1372.90626,4465.7561408009,Smp_PS2_crude,4.012797675437725,ETNP-PS3,0.06994268790503971
1536.31224,554.5608446873559,Smp_PS2_crude,0.4983121331052138,ETNP-PS3,0.008685533840494636
1624.58513,602.9209109437908,Smp_PS2_crude,0.5417670722777393,ETNP-PS3,0.009442949363106277
1663.66775,462.4006603352877,Smp_PS2_crude,0.41549969062608466,ETNP-PS3,0.007242120718914823
51.50695,783.9846886501766,Smp_PS3_elute,0.7044656799441789,NA,NA
110.13094,453.8556048392782,Smp_PS3_elute,0.4078213540242291,NA,NA
847.64795,489.1656893537019,Smp_PS3_elute,0.43954996181013867,NA,NA
1001.28329,114.95348214108148,Smp_PS3_elute,0.10329383230416962,NA,NA
1371.5577,274.1388363002666,Smp_PS3_elute,0.2463331293445022,NA,NA
1391.77291,344.8542486529312,Smp_PS3_elute,0.3098759277776252,NA,NA
1430.18184,271.99327054863954,Smp_PS3_elute,0.24440518679923734,NA,NA
1453.09242,275.2090086027109,Smp_PS3_elute,0.24729475483236332,NA,NA
1534.29012,284.3125964623934,Smp_PS3_elute,0.25547497225796717,NA,NA
1591.56639,376.8476465578073,Smp_PS3_elute,0.3386242581150306,NA,NA
1624.58462,412.0188059244435,Smp_PS3_elute,0.37022803183196623,NA,NA
1665.01506,277.3674197379132,Smp_PS3_elute,0.2492342398630944,NA,NA
51.17022,659.6435885992588,Smp_PS3_crude,0.592736409129985,ETNP-PS1,0.004085960340030879
86.88366,1203.8750430475882,Smp_PS3_crude,1.0817668546927122,ETNP-PS1,0.007457035534432751
834.1714,157.82040053528624,Smp_PS3_crude,0.14181278969054267,ETNP-PS1,9.775701736210163e-4
852.70198,651.2518537789125,Smp_PS3_crude,0.5851958419968374,ETNP-PS1,0.004033980306793837
1008.35883,482.31260689477494,Smp_PS3_crude,0.43339198262504297,ETNP-PS1,0.0029875378421455163
1371.89522,952.8126897880791,Smp_PS3_crude,0.8561695771465624,ETNP-PS1,0.005901906619329507
1391.43661,602.4139901163237,Smp_PS3_crude,0.5413115680688316,ETNP-PS1,0.00373146910609997
1431.86688,375.84179991145436,Smp_PS3_crude,0.3377204337777689,ETNP-PS1,0.002328037011357908
1453.76665,516.0006507405251,Smp_PS3_crude,0.46366307217227165,ETNP-PS1,0.0031962081202562293
1535.63811,361.4414151782688,Smp_PS3_crude,0.3247806698137714,ETNP-PS1,0.002238838235052165
1588.53462,378.1617156102054,Smp_PS3_crude,0.33980504207917295,ETNP-PS1,0.0023424070191941705
1622.56345,539.6286014523544,Smp_PS3_crude,0.484894456668511,ETNP-PS1,0.0033425642301211735
1661.3092,303.0077224700957,Smp_PS3_crude,0.27227386494722833,ETNP-PS1,0.0018768886079298212
846.97386,1680.9787247264615,Smp_KM1906S4C28D15_A,1.5104782496773046,NA,NA
50.15946,473.7054281648884,Smp_KM1906U12_C,0.4256578239046854,NA,NA
844.9531,1427.8979737429224,Smp_KM1906U12_C,1.2830672990510024,NA,NA
1001.95785,184.2837952476555,Smp_KM1906U12_C,0.1655920211214245,NA,NA
1117.52123,341.86819925347845,Smp_KM1906U12_C,0.3071927512424377,NA,NA
1443.99663,244.8066645717271,Smp_KM1906U12_C,0.219976098907387,NA,NA
1531.93253,250.67677808756355,Smp_KM1906U12_C,0.2252508109893323,NA,NA
51.84381,200.652763048882,Smp_KM1910S2CTD10D25_B,0.18030069617467018,NA,NA
109.45712,157.0114292269987,Smp_KM1910S2CTD10D25_B,0.14108587176599835,NA,NA
846.63736,1451.0332543566992,Smp_KM1910S2CTD10D25_B,1.3038559846264115,NA,NA
1000.27267,258.9197582369335,Smp_KM1910S2CTD10D25_B,0.23265771153185474,NA,NA
