SampName,[As]_ppb,Mode,%HCl,%MeOH,35Cl,75As,77Se,78Se,103Rh
Blank_1,0,KED,0,2.5,1261.401775,39.84006764,8.720003851,38.66686133,217425.3699
Blank_2,0,KED,0,2.5,1268.071156,38.90673058,8.773337572,46.000188,217189.7841
Blank_3,0,KED,0,2.5,1169.39267,38.90673016,9.386671232,41.33350933,214742.2716
Std_0.005ppb,0.005,KED,0,2.5,1282.738351,78.72025406,13.22667478,52.66689467,215080.3182
Std_0.01ppb,0.01,KED,0,2.5,1216.064836,109.8938265,17.41334756,64.000272,214784.5778
Std_0.1ppb,0.1,KED,0,2.5,1092.051944,771.8372224,90.53366858,168.668212,213083.7847
Std_1.0ppb,1,KED,0,2.5,1138.723619,7343.890746,825.0939687,1227.396623,210555.678
Std_10.0ppb,10,KED,0,2.5,1150.724072,71461.59389,7917.494561,12050.52027,210285.3702
Std_0ppb_0MeOH,0,KED,0,0,1410.751707,40.34673503,8.613336975,46.66685867,199149.5365
Std_0.01ppb_0MeOH,0.01,KED,0,0,1346.745168,94.61370235,15.97334478,58.000268,197221.5257
Std_0.1ppb_0MeOH,0.1,KED,0,0,1361.414933,1046.657349,71.14687567,90.00052934,197145.3765
Std_1.0ppb_0MeOH,1,KED,0,0,1413.419099,3903.916581,617.6419825,675.3527193,196390.8224
Std_10.0ppb_0MeOH,10,KED,0,0,1345.410591,38308.38583,5992.210208,6517.71441,201169.2285
Std_0ppb_0.1MeOH,0,KED,0,0.1,1430.75439,41.3334049,10.29333878,41.333496,204248.6025
Std_0.01ppb_0.1MeOH,0.01,KED,0,0.1,1405.420358,83.22695065,16.53334592,51.33359067,199527.0721
Std_0.1ppb_0.1MeOH,0.1,KED,0,0.1,1441.42175,466.5954167,76.02690424,137.3345067,199686.5222
Std_1.0ppb_0.1MeOH,1,KED,0,0.1,1361.41312,4200.546124,647.8035385,746.0238688,199251.4692
Std_10.0ppb_0.1MeOH,10,KED,0,0.1,1356.07969,40742.0672,6252.390724,6968.635043,200153.8484
Std_0ppb_1MeOH,0,KED,0,1,1122.721603,41.38674484,9.253337931,47.33350533,207829.9364
Std_0.01ppb_1MeOH,0.01,KED,0,1,1074.718488,94.98703648,16.29334539,54.00028667,205011.1177
Std_0.1ppb_1MeOH,0.1,KED,0,1,1172.060137,576.5733921,82.40027872,146.6679227,200040.9805
Std_1.0ppb_1MeOH,1,KED,0,1,1069.384184,5430.21984,733.4082519,955.372123,206460.621
Std_10.0ppb_1MeOH,10,KED,0,1,1054.715165,52326.7346,7049.188289,9268.793143,205525.7719
Std_0ppb_5MeOH,0,KED,0,5,866.7011535,40.00015746,8.320003558,57.333608,206050.9769
Std_0.01ppb_5MeOH,10,KED,0,5,817.3634412,99593.87195,8242.771728,15288.05998,200178.139
Std_0.1ppb_5MeOH,1,KED,0,5,834.698156,9830.025478,827.8941446,1513.42831,197878.1261
Std_1.0ppb_5MeOH,0.1,KED,0,5,829.3648227,1032.416062,91.22700818,210.668856,200172.4052
Std_10.0ppb_5MeOH,0.01,KED,0,5,750.6930411,135.7607485,16.66667942,52.666884,200091.9036
Std_0ppb_0.1HCl,0,KED,0.1,2.5,1300781.999,38.00006156,10.40000537,50.00020933,202755.1604
Std_0.01ppb_0.1HCl,0.01,KED,0.1,2.5,1286713.757,105.9471235,17.92001461,60.000288,202270.6568
Std_0.1ppb_0.1HCl,0.1,KED,0.1,2.5,1276588.512,729.7280797,86.61364215,172.0014507,199545.5799
Std_1.0ppb_0.1HCl,1,KED,0.1,2.5,1286577.072,6860.896618,760.4498802,1210.06097,199820.3791
Std_10.0ppb_0.1HCl,10,KED,0.1,2.5,1241855.329,65689.52177,7134.688305,11001.57663,195545.0938
Std_0ppb_1HCl,0,KED,1,2.5,11957682.87,86.72033456,25.84002884,30.66677867,187863.7616
Std_0.01ppb_1HCl,0.01,KED,1,2.5,12302343.68,146.7742096,32.7467139,46.000196,188977.0899
Std_0.1ppb_1HCl,0.1,KED,1,2.5,12412697.45,750.5559284,100.3204133,164.6680733,191932.6363
Std_1.0ppb_1HCl,1,KED,1,2.5,12469488.63,6701.956998,747.1424119,1147.388076,189905.3758
Std_10.0ppb_1HCl,10,KED,1,2.5,12349702.51,65093.42182,7043.932178,10855.40623,191643.266
Std_0ppb_5HCl,0,KED,5,2.5,64186779.13,254.4026111,90.10699857,38.00013467,182366.4673
Std_0.01ppb_5HCl,0.01,KED,5,2.5,63266651.26,331.8444354,94.53370002,52.66689467,182502.5486
Std_0.1ppb_5HCl,0.1,KED,5,2.5,62360798.62,939.315388,164.6944348,157.334776,181852.9865
Std_1.0ppb_5HCl,1,KED,5,2.5,62494080.98,6838.964532,804.132624,1126.720179,182327.0802
Std_10.0ppb_5HCl,10,KED,5,2.5,61621621.66,63906.87996,6938.432739,10415.02862,182002.8031
Std_0ppb_0MeOH,0,Std,0,0,1898520.429,2101.590337,1089.994314,22213.10714,229306.0565
Std_0.01ppb_0MeOH,0.01,Std,0,0,1906075.692,2193.446033,1068.12573,21958.66318,227123.6727
Std_0.1ppb_0MeOH,0.1,Std,0,0,1800020.439,3895.220717,1197.524175,22253.85851,226215.6537
Std_1.0ppb_0MeOH,1,Std,0,0,1761521.444,15488.41878,2641.772723,26025.13861,226520.9481
Std_10.0ppb_0MeOH,10,Std,0,0,1715091.768,136937.5646,17065.08421,62997.24548,230162.3822
Std_0ppb_0.1MeOH,0,Std,0,0.1,1407995.055,1572.845778,926.247719,21914.57235,227560.9103
Std_0.01ppb_0.1MeOH,0.01,Std,0,0.1,1441797.704,1690.274431,909.5798448,21648.77582,228120.712
Std_0.1ppb_0.1MeOH,0.1,Std,0,0.1,1220772.317,2932.290881,1060.178354,22138.98867,227518.4633
Std_1.0ppb_0.1MeOH,1,Std,0,0.1,1253643.691,16032.01032,2614.006921,25776.61005,224516.5767
Std_10.0ppb_0.1MeOH,10,Std,0,0.1,1184606.121,142903.0825,17840.78064,65358.6658,224767.2304
Std_0ppb_1MeOH,0,Std,0,1,1013588.506,1111.383585,792.9319157,21237.42134,233337.2048
Std_0.01ppb_1MeOH,0.01,Std,0,1,994969.7579,1230.300672,798.1055429,21095.83241,227956.8176
Std_0.1ppb_1MeOH,0.1,Std,0,1,990642.8541,2949.441586,1004.120427,21779.67188,226924.0126
Std_1.0ppb_1MeOH,1,Std,0,1,933897.7297,19873.12373,3093.556449,27340.59652,226505.2948
Std_10.0ppb_1MeOH,10,Std,0,1,892232.8993,183651.426,23463.84992,83037.20827,229727.8345
Std_0ppb_5MeOH,0,Std,0,5,662690.3122,535.9316447,705.3799673,18828.90425,233469.8631
Std_0.01ppb_5MeOH,0.01,Std,0,5,594631.7998,848.8822393,727.1412236,18530.44902,232209.0016
Std_0.1ppb_5MeOH,0.1,Std,0,5,589053.1584,4166.508187,1113.56969,19718.93208,230370.7653
Std_1.0ppb_5MeOH,1,Std,0,5,573477.0248,35645.90373,4651.346198,30280.05718,231900.9605
Std_10.0ppb_5MeOH,10,Std,0,5,533734.8327,372266.1991,42415.68081,143116.6401,227476.762
Std_0ppb_0.1HCl,0,Std,0.1,2.5,70834500.73,6113.842462,2525.055266,19835.78059,232029.4877
Std_0.01ppb_0.1HCl,0.01,Std,0.1,2.5,72325571.89,6681.572544,2654.148618,19869.15822,226996.51
Std_0.1ppb_0.1HCl,0.1,Std,0.1,2.5,72863272.02,9098.644795,2971.126653,20526.89433,232129.0322
Std_1.0ppb_0.1HCl,1,Std,0.1,2.5,72698848.84,32248.14863,5782.351334,28724.3758,230072.22
Std_10.0ppb_0.1HCl,10,Std,0.1,2.5,73116002.63,248168.6017,32296.91653,104459.508,225158.9147
Std_0ppb_1HCl,0,Std,1,2.5,672828811.1,54610.97019,18859.52593,18263.39309,216755.2621
Std_0.01ppb_1HCl,0.01,Std,1,2.5,686791689.1,56480.76803,19427.96896,18478.3667,216548.2039
Std_0.1ppb_1HCl,0.1,Std,1,2.5,690756240.9,59625.94272,19931.37362,19581.37531,217541.8201
Std_1.0ppb_1HCl,1,Std,1,2.5,710950662.8,80197.89856,22399.73551,26812.12082,216079.5304
Std_10.0ppb_1HCl,10,Std,1,2.5,675428375.5,294680.0275,48356.49064,102023.8243,216745.7216
Std_0ppb_5HCl,0,Std,5,2.5,3404328898,272180.6042,91646.54211,17182.51602,196674.0789
Std_0.01ppb_5HCl,0.01,Std,5,2.5,3262734914,269113.1152,90618.94796,16931.50142,199446.5966
Std_0.1ppb_5HCl,0.1,Std,5,2.5,3273616211,274399.082,91947.80499,17767.99945,196406.0311
Std_1.0ppb_5HCl,1,Std,5,2.5,3243203000,296472.9346,94543.10403,25443.92713,195250.8235
Std_10.0ppb_5HCl,10,Std,5,2.5,3228271565,505273.3915,119851.5758,99698.58852,197103.0067
Std_0ppb_0HCl_2.5MeOHA,0,Std,0,2.5,8310480.258,7714.646462,2930.266116,19369.05829,228007.1299
Std_0ppb_0HCl_2.5MeOHB,0,Std,0,2.5,7468833.276,6499.643496,2541.645818,19587.39075,222232.1063
Std_0ppb_0HCl_2.5MeOHC,0,Std,0,2.5,5842799.765,4996.369206,2047.048815,19448.52116,224028.9948
Std_0.01ppb_0HCl_2.5MeOH,0.01,Std,0,2.5,5405720.726,4151.70609,1760.631122,19385.7687,231329.1414
Std_0.1ppb_0HCl_2.5MeOH,0.1,Std,0,2.5,4756033.753,5981.725278,1899.131218,20219.72779,222791.2234
Std_1.0ppb_0HCl_2.5MeOH,1,Std,0,2.5,4443837.121,28086.38285,4459.835911,27963.30966,219899.2002
Std_10.0ppb_0HCl_2.5MeOH,10,Std,0,2.5,4075234.111,249413.3716,31292.36477,105844.0861,218736.1975