lipid_ID,rt_min,sampleID,
AsHC332,14.2,ALOHA,
AsHC390,,ALOHA,
AsHC418,,ALOHA,
AsSugPL902,22,ALOHA,
AsSugPL928,22.5,ALOHA,
AsSugPL930,22.3,ALOHA,
AsSugPL952,,ALOHA,
AsSugPL954,23.2,ALOHA,
AsSugPL956,24.1,ALOHA,
AsSugPL958,22.6,ALOHA,
AsSugPL982,24.5,ALOHA,
AsSugPL984,,ALOHA,
AsSugPL1010,25.7,ALOHA,
AsHC332,14,BATS,
AsHC390,,BATS,
AsHC418,,BATS,
AsSugPL902,22.1,BATS,
AsSugPL928,,BATS,
AsSugPL930,,BATS,
AsSugPL952,,BATS,
AsSugPL954,23.1,BATS,
AsSugPL956,24,BATS,
AsSugPL958,24.9,BATS,
AsSugPL982,24.4,BATS,
AsSugPL984,25.5,BATS,
AsSugPL1010,25.7,BATS,
AsHC332,14,ETNP-PS1,
AsHC390,,ETNP-PS1,
AsHC418,,ETNP-PS1,
AsSugPL902,22,ETNP-PS1,
AsSugPL928,22.6,ETNP-PS1,
AsSugPL930,23.6,ETNP-PS1,
AsSugPL952,22.1,ETNP-PS1,
AsSugPL954,23.1,ETNP-PS1,
AsSugPL956,24,ETNP-PS1,
AsSugPL958,25,ETNP-PS1,
AsSugPL982,24.4,ETNP-PS1,
AsSugPL984,25.4,ETNP-PS1,
AsSugPL1010,25.7,ETNP-PS1,
AsHC332,14,ETNP-PS2,
AsHC390,,ETNP-PS2,
AsHC418,,ETNP-PS2,
AsSugPL902,21.9,ETNP-PS2,
AsSugPL928,,ETNP-PS2,
AsSugPL930,,ETNP-PS2,
AsSugPL952,,ETNP-PS2,
AsSugPL954,23,ETNP-PS2,
AsSugPL956,24.1,ETNP-PS2,
AsSugPL958,,ETNP-PS2,
AsSugPL982,,ETNP-PS2,
AsSugPL984,,ETNP-PS2,
AsSugPL1010,,ETNP-PS2,
AsHC332,13.9,ETNP-PS3,
AsHC390,18.2,ETNP-PS3,
AsHC418,21.4,ETNP-PS3,
AsSugPL902,,ETNP-PS3,
AsSugPL928,,ETNP-PS3,
AsSugPL930,,ETNP-PS3,
AsSugPL952,,ETNP-PS3,
AsSugPL954,23,ETNP-PS3,
AsSugPL956,24,ETNP-PS3,
AsSugPL958,24.8,ETNP-PS3,
AsSugPL982,24.4,ETNP-PS3,
AsSugPL984,25.3,ETNP-PS3,
AsSugPL1010,25.7,ETNP-PS3,